domain,node_id,timestamp,risk_score,failure_probability,estimated_remaining_life_days,maintenance_priority,battery_pct,packet_loss_rate,global_risk_score
building,uci_air_quality_gas_multisensor,2005-04-04 13:00:00+00:00,0.1259128220685181,2.1942760148281068e-08,181.39046135177784,LOW,85.0,0.0,0.3447093666666667
gateway,uci_beijing_multisite_huairou,2017-02-27 21:00:00+00:00,0.08524732297899598,2.1942760148281068e-08,186.27032124252048,LOW,85.0,0.0,0.20915770303492628
gateway,uci_beijing_multisite_guanyuan,2017-02-28 19:00:00+00:00,0.07998628482072681,2.1942760148281068e-08,186.90164582151277,LOW,85.0,0.0,0.1916209091740291
gateway,uci_beijing_multisite_tiantan,2017-02-28 19:00:00+00:00,0.07955430982072681,2.1942760148281068e-08,186.9534828215128,LOW,85.0,0.0,0.19018099250736242
gateway,uci_beijing_multisite_wanliu,2017-02-28 17:00:00+00:00,0.07942965514214033,2.1942760148281068e-08,186.96844138294318,LOW,85.0,0.0,0.18976547691207418
gateway,uci_beijing_multisite_wanshouxigong,2017-02-28 18:00:00+00:00,0.07882165478761856,2.1942760148281068e-08,187.0414014254858,LOW,85.0,0.0,0.18773880906366824
gateway,uci_beijing_multisite_dongsi,2017-02-28 15:00:00+00:00,0.07879418774067135,2.1942760148281068e-08,187.04469747111943,LOW,85.0,0.0,0.18764725224051088
gateway,uci_beijing_multisite_aotizhongxin,2017-02-28 15:00:00+00:00,0.07852245774067135,2.1942760148281068e-08,187.07730507111944,LOW,85.0,0.0,0.1867414855738442
gateway,uci_beijing_multisite_shunyi,2017-02-28 13:00:00+00:00,0.07712864778049337,2.1942760148281068e-08,187.2445622663408,LOW,85.0,0.0,0.18209545237325098
gateway,uci_beijing_multisite_dingling,2017-02-28 19:00:00+00:00,0.0751158676338594,2.1942760148281068e-08,187.48609588393688,LOW,85.0,0.0,0.17538618521780439
gateway,uci_beijing_multisite_gucheng,2017-02-28 23:00:00+00:00,0.07184649207624398,2.1942760148281068e-08,187.87842095085074,LOW,85.0,0.0,0.16448826669241964
gateway,uci_beijing_multisite_changping,2017-02-28 22:00:00+00:00,0.07104739083225985,2.1942760148281068e-08,187.97431310012882,LOW,85.0,0.0,0.16182459587913922
gateway,uci_beijing_pm25_gateway_environment,2014-12-31 09:00:00+00:00,0.07019238085749165,2.1942760148281068e-08,188.07691429710098,LOW,85.0,0.0,0.1589745626299119
gateway,uci_beijing_multisite_nongzhanguan,2017-02-28 04:00:00+00:00,0.06829052051430966,2.1942760148281068e-08,188.30513753828285,LOW,85.0,0.0,0.15263502815263857
water,water_node_001,2026-06-13 16:00:00+00:00,0.06742129206851806,2.1942760148281068e-08,194.74544495177784,LOW,92.04,0.0,0.1849376
building,building_node_001,2026-06-13 16:00:00+00:00,0.06663553818851808,2.1942760148281068e-08,194.4077354173778,LOW,91.56,0.0,0.1799184204
bridge,bridge_node_001,2026-06-13 10:15:00+00:00,0.04861546581851808,2.1942760148281068e-08,192.3041441017778,LOW,86.82,0.0,0.09615151250000001
